participant_id,competition_id,total_submissions,active_days,submissions_per_day,avg_submissions_mid,submissions_end,median_score,top_score,lowest_score,gap_median_top,gap_lowest_top,peak_submissions_per_day,top_score_on_peak_day,peak_submissions_per_hour,top_score_on_peak_hour,claude_min_score,user_min_score_diff,above_below_claude_min,score_time_corr,time_to_best_score_hours,quiz_participation,final_rank,rank_to_submissions,rank_to_quiz_participation,description_rate,cheated
1,1,22,9,2.4444444444444446,3.3333333333333335,2,1.4223908639950638,0.6434732774375994,2.4951916815759945,0.7789175865574643,1.8517184041383952,5,0.963454247578043,2,0.963454247578043,0.6612360539292966,-0.01776277649169722,1,-0.764667165204384,194.4152066771377,9,17,0.7727272727272727,1.7,0.909,0
2,1,23,9,2.5555555555555554,2.6666666666666665,3,1.6057500225870494,0.8563902035926201,2.314748311271221,0.7493598189944293,1.458358107678601,4,2.0041157201868853,2,2.116195139261812,0.6612360539292966,0.19515414966332345,0,-0.985582121026678,208.09316524697454,4,19,0.8260869565217391,3.8,0.652,0
3,1,12,5,2.4,1.3333333333333333,3,1.3665764623589456,0.39166705964032383,2.393829437387439,0.9749094027186218,2.002162377747115,3,1.8050258806513053,1,2.393829437387439,0.6612360539292966,-0.2695689942889728,1,-0.9803878149753612,111.22088447883613,8,2,0.16666666666666666,0.2222222222222222,0.75,0
4,1,37,7,5.285714285714286,3.0,5,0.9479053723974392,0.4369295928543159,2.4337303311679745,0.5109757795431233,1.9968007383136586,10,0.6767456083170881,3,1.175259118353752,0.6612360539292966,-0.22430646107498076,1,-0.434753857650438,185.34218776192336,7,7,0.1891891891891892,0.875,0.892,0
5,1,5,1,5.0,0.0,5,0.5448433642217061,0.42962908296236835,0.7085018485772088,0.11521428125933775,0.2788727656148404,5,0.42962908296236835,3,0.5448433642217061,0.6612360539292966,-0.23160697096692828,1,-0.9697808333374103,0.9211316884248504,4,5,1.0,1.0,0.6,1
6,1,26,7,3.7142857142857144,4.333333333333333,8,1.157655641538962,0.5431484751560179,2.508165085840218,0.6145071663829441,1.9650166106842,8,0.5431484751560179,1,2.4465892133390903,0.6612360539292966,-0.11808757877327869,1,-0.6221722415051437,168.44707129059478,10,13,0.5,1.1818181818181819,0.769,0
7,1,27,8,3.375,4.0,4,0.5766757374375227,0.42500164662273493,2.44082926697105,0.15167409081478772,2.015827620348315,5,0.7231925742796931,2,0.6270167767054822,0.6612360539292966,-0.2362344073065617,1,-0.5791883788025382,197.79221468954606,7,4,0.14814814814814814,0.5,0.926,0
8,1,8,3,2.6666666666666665,1.6666666666666667,0,2.207068049707816,0.9596139526817578,2.513027597503704,1.2474540970260584,1.5534136448219462,4,2.3375784994110083,2,2.511353599582009,0.6612360539292966,0.2983778987524611,0,-0.9943338021441258,110.43137556895977,7,21,2.625,2.625,0.875,0
9,1,27,7,3.857142857142857,5.0,1,1.3108795024114162,0.34354099123035836,2.4493670850689906,0.9673385111810577,2.1058260938386324,9,0.4917888462597135,3,1.3448588285869005,0.6612360539292966,-0.31769506269893827,1,-0.7451422059318575,169.52854333937142,8,1,0.037037037037037035,0.1111111111111111,0.963,0
10,1,17,7,2.4285714285714284,2.0,6,1.3195589559345073,0.4365416279295534,2.380886555277482,0.8830173280049539,1.9443449273479287,6,0.4365416279295534,2,1.547606129727491,0.6612360539292966,-0.2246944259997432,1,-0.47916335625099127,165.06134223339274,9,6,0.35294117647058826,0.6,0.882,0
11,1,20,8,2.5,3.0,0,1.543881546828797,0.6883162336665325,2.3190863438506595,0.8555653131622645,1.630770110184127,5,1.450338642615706,1,2.3190863438506595,0.6612360539292966,0.027080179737235865,0,-0.9833816867145873,171.8199371761536,6,18,0.9,2.5714285714285716,0.75,1
