participant_id,competition_id,total_submissions,active_days_pct,submissions_per_day,submission_avg_initial_days,avg_submissions_mid,submissions_end,median_score,top_score,lowest_score,gap_median_top,gap_lowest_top,peak_submissions_per_day,top_score_on_peak_day,peak_submissions_per_hour,top_score_on_peak_hour,claude_min_score,user_min_score_diff,above_below_claude_min,score_time_corr,time_to_best_score_hours,submissions_pre_jump,submissions_post_jump,leap_size,post_jump_score_repetition,quiz_participation_pct,final_rank,rank_to_submissions,rank_to_quiz_participation,description_rate,archetype
1,1,4,40.0,1.0,0.3333333333333333,0.3333333333333333,0,0.9107111273411629,0.8696391842663922,1.065737734006146,0.04107194307477069,0.19609854973975382,1,1.065737734006146,1,1.065737734006146,0.5959407008493431,0.27369848341704905,0,-0.9682363452744435,174.42576776374617,1,3,0.1194947433266883,0.4186836752397394,60.0,17,4.25,2.4285714285714284,0.75,hardworker
2,1,4,30.0,1.3333333333333333,0.0,1.0,1,1.2000117498142786,1.1128304237932451,1.2871930758353123,0.08718132602103346,0.17436265204206713,2,1.1128304237932451,1,1.1128304237932451,0.5959407008493431,0.516889722943902,0,0.7012320982494246,0.0,4,0,0.0,0.0,80.0,18,4.5,2.0,0.5,consistent_late_breakthrough
3,1,18,30.0,6.0,0.0,0.6666666666666666,0,0.561327595983871,0.5124541631763567,0.615423322328437,0.04887343280751433,0.10296915915208027,8,0.5124541631763567,3,0.5227300354395403,0.5959407008493431,-0.08348653767298642,1,0.35537887300138415,1.3549171028407159,2,16,0.0637306880022287,0.0,60.0,10,0.5555555555555556,1.4285714285714286,0.667,late_joiner_dangerous
4,1,21,70.0,3.0,1.3333333333333333,0.6666666666666666,3,0.5926432104786302,0.35804725018878913,2.2600903402021184,0.2345959602898411,1.9020430900133292,7,0.5491819467777241,4,0.633496121049082,0.5959407008493431,-0.237893450660554,1,-0.25046155226766664,181.4638463410638,8,13,1.667447129723488,0.7223390002739616,30.0,2,0.09523809523809523,0.5,0.81,consistent_late_breakthrough
5,1,27,60.0,4.5,0.6666666666666666,1.6666666666666667,3,0.6227496833481793,0.44072788344652936,1.0290551529735201,0.1820217999016499,0.5883272695269908,7,0.44072788344652936,2,0.44072788344652936,0.5959407008493431,-0.15521281740281379,1,-0.46079210973773416,92.74667236473191,3,24,0.48675686277519403,0.0063869469469360896,40.0,7,0.25925925925925924,1.4,0.815,consistent_ai_leap
6,1,5,10.0,5.0,1.6666666666666667,0.0,0,1.0882334139127547,0.8297017414531469,2.295405756685976,0.25853167245960784,1.465704015232829,5,0.8297017414531469,2,0.8297017414531469,0.5959407008493431,0.23376104060380376,0,0.15066259244076516,4.834914692975005,3,2,1.465704015232829,0.7569843563487918,20.0,16,3.2,5.333333333333333,0.8,low_interest_quitter
7,1,18,60.0,3.0,1.3333333333333333,4.0,0,0.5166749181474339,0.4182644093937331,0.6453793149935048,0.09841050875370083,0.22711490559977165,10,0.45430450524675076,2,0.5701076839464562,0.5959407008493431,-0.17767629145561004,1,-0.3357503622876246,107.66947100450554,16,2,0.17492354919477693,0.35948953717434073,60.0,4,0.2222222222222222,0.5714285714285714,0.778,late_joiner_dangerous
8,1,17,80.0,2.125,1.6666666666666667,1.3333333333333333,3,0.7499474004235993,0.6148902471014268,2.3552266508030515,0.1350571533221725,1.7403364037016247,3,2.2247242769468945,1,2.2247242769468945,0.5959407008493431,0.01894954625208367,0,-0.7278128313898254,187.30407974491663,3,14,1.2631348938620248,0.0,50.0,14,0.8235294117647058,2.3333333333333335,0.824,benchmark_tweaker
9,1,20,80.0,2.5,1.3333333333333333,2.0,1,0.4303437675920131,0.3463691233468688,0.7309091201700187,0.08397464424514428,0.38453999682314993,6,0.38712645672179036,4,0.40588950384908373,0.5959407008493431,-0.24957157750247433,1,-0.8125250929731737,100.6008993479564,7,13,0.10647799260617191,0.6029698311314806,100.0,1,0.05,0.09090909090909091,0.75,daily_sprinter
10,1,2,10.0,2.0,0.0,0.6666666666666666,0,0.5460277186331635,0.49452431873209357,0.5975311185342332,0.05150339990106989,0.10300679980213967,2,0.49452431873209357,2,0.49452431873209357,0.5959407008493431,-0.10141638211724957,1,-1.0,0.2571999590475542,2,0,0.0,0.0,60.0,9,4.5,1.2857142857142858,0.5,late_joiner_dangerous
